True_Label,Predicted_Label,Confidence
3,4,0.2763423
6,3,0.7818251
0,3,0.3953771
4,6,0.37251076
0,6,0.49965432
6,6,0.32130286
4,0,0.32258117
2,3,0.3788808
6,4,0.2934669
2,6,0.29066202
6,5,0.26693657
3,4,0.34175763
0,2,0.33631626
0,0,0.2876308
0,0,0.22227032
4,3,0.6171327
6,6,0.3634462
2,4,0.3999422
5,5,0.44346476
0,5,0.67753017
0,0,0.34900948
4,3,0.31117058
2,4,0.2473679
5,6,0.3367781
6,5,0.29367572
3,5,0.69002926
3,3,0.54619104
4,3,0.85586786
6,3,0.54960424
4,6,0.40495092
4,4,0.38211146
3,3,0.32237917
3,3,0.4057356
5,0,0.21818738
2,2,0.41744104
5,2,0.44662946
2,3,0.5088269
6,6,0.28235945
3,4,0.34002516
3,0,0.24357797
4,5,0.46860656
6,6,0.30061
2,2,0.2578983
6,4,0.28804442
0,3,0.27864936
3,5,0.4066401
4,3,0.47340742
3,3,0.41378507
3,3,0.46804753
3,4,0.3115449
6,6,0.38429466
2,6,0.23610753
3,3,0.4492048
2,4,0.39814612
6,6,0.35665223
4,6,0.4219496
5,5,0.2794613
5,5,0.3269815
2,5,0.23131329
6,3,0.35698074
0,6,0.2566805
5,5,0.6098262
4,4,0.30549756
0,3,0.28863415
3,3,0.6875143
6,4,0.31407714
3,3,0.5613035
0,0,0.29902172
2,0,0.24013777
3,3,0.41377363
6,3,0.63080275
4,4,0.32620543
3,3,0.30757025
2,6,0.5117198
5,3,0.23774217
3,3,0.8620289
4,4,0.3857903
3,3,0.3369141
3,3,0.58626324
3,3,0.37667686
6,3,0.2654959
2,5,0.40778002
0,6,0.37473047
2,6,0.2612983
3,6,0.38530725
4,3,0.45691988
3,3,0.52146703
5,5,0.23171467
3,4,0.24953045
4,0,0.28503346
3,5,0.2738443
3,3,0.43373266
3,3,0.52334106
6,6,0.57026887
6,2,0.23592956
5,5,0.76533216
0,6,0.42599386
2,3,0.31450695
5,5,0.859456
2,5,0.34098616
3,3,0.49397424
4,6,0.41509068
6,3,0.30701306
6,2,0.3868287
6,4,0.40018415
2,3,0.32982728
0,3,0.24876122
2,6,0.44823903
2,5,0.5869307
5,6,0.2621122
5,5,0.62250483
4,0,0.2677167
3,3,0.4979467
3,3,0.3119206
0,3,0.22923177
0,4,0.33565518
6,6,0.37267295
3,3,0.37065977
3,5,0.45736605
3,5,0.68892753
4,4,0.4595623
0,3,0.31249565
6,4,0.32628447
3,3,0.7400696
5,3,0.33706838
4,4,0.28747138
2,3,0.23552048
2,4,0.29174295
3,4,0.38532856
4,4,0.26096964
3,6,0.26667598
2,6,0.42165413
2,3,0.273806
5,5,0.6382019
0,3,0.5071207
2,4,0.3852861
3,3,0.51023453
3,4,0.23681962
3,6,0.64964837
0,2,0.29127508
4,6,0.24923024
3,6,0.27522987
6,3,0.7030395
3,3,0.6499402
6,3,0.3357398
0,4,0.32125914
3,3,0.30715656
2,5,0.8131911
0,6,0.31376278
3,3,0.30902544
5,6,0.2963887
0,6,0.2685218
5,5,0.8457307
2,6,0.4655894
6,6,0.2726493
0,0,0.28857633
3,3,0.64833266
3,6,0.23716612
3,0,0.32856604
5,3,0.5553603
6,4,0.32606253
4,6,0.35242432
6,3,0.4271067
5,5,0.5102564
4,6,0.32977948
3,6,0.39438498
0,6,0.5522217
2,5,0.55567193
5,6,0.2735529
6,6,0.30006704
6,6,0.43578547
2,5,0.26374266
6,2,0.2087121
4,3,0.36071688
2,5,0.3731232
4,4,0.45467854
6,6,0.2867466
6,3,0.26876032
0,3,0.38499364
6,3,0.36851358
5,5,0.63109076
5,5,0.2516278
6,0,0.28083193
6,0,0.2708884
4,4,0.54043084
2,3,0.4859899
6,3,0.55561334
6,6,0.5021666
6,3,0.5210867
2,3,0.63532823
3,3,0.59550375
5,5,0.53883946
0,4,0.4639915
6,3,0.4223585
6,6,0.20342202
5,5,0.8883187
3,3,0.40219313
3,3,0.8398136
4,3,0.39364323
